,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad
1) JNPT – NASIK – JNPT,23000,20700,17000,17800,24500,22500,23500,21300,26000,27000,25000,23500,100000,30600,28000,26000,25000,30600,26000,26500,30000,33300,28500,27000,32000,36000,32000,32000,100000,NA,35000,NA
2) JNPT –SINNER – JNPT,21000,20700,18500,21000,23000,22500,25000,24000,25000,27000,26500,28000,100000,30600,30000,32000,28000,30600,27500,28000,32000,33300,30000,31000,34000,36000,33500,34000,100000,NA,37000,38000
3) JNPT –MAHAD – JNPT,19000,NA,14500,18000,21000,NA,17000,21000,23000,NA,19500,25000,100000,NA,23000,28000,22000,NA,22500,26000,32000,NA,24000,29000,34000,NA,27000,32000,100000,NA,29800,NA
4) JNPT –KHOPOLI – JNPT,11000,10800,9000,15000,13000,13500,11500,17000,14500,15300,14500,19000,100000,16200,17000,22000,14000,NA,16000,16000,34500,18000,17000,18000,36500,20700,19500,24000,100000,NA,21500,NA
5) JNPT – BHIWANDI – JNPT,12000,12600,9000,13000,14000,13500,11000,15000,15000,14400,14000,17000,100000,15300,16500,20000,14000,NA,16500,17000,29500,20700,18000,21000,31000,23400,20300,23000,100000,NA,22500,NA
6) JNPT – THANE – JNPT,12000,12600,9000,12500,14000,13500,11000,14500,15000,14400,14000,17000,100000,15300,16500,20000,14000,NA,16500,17000,70000,NA,18000,22000,80000,NA,20300,25000,100000,NA,22500,NA
7) JNPT – TARAPUR – JNPT,18000,15300,15500,20000,19800,20700,18000,22000,21800,22500,21000,26000,100000,24300,25000,28000,20000,NA,21000,28000,39000,25200,23000,32500,42500,27900,25900,34500,100000,NA,28000,NA
8) JNPT – CHAKAN – JNPT,14000,15300,14500,17000,17500,18900,18000,19000,19500,21600,19500,21000,100000,24300,23000,26000,19500,22500,20500,21500,25500,23400,21900,23500,28500,25200,24000,27000,100000,NA,27000,NA
9) JNPT – TALEGAON – JNPT,14000,14400,13000,17000,17500,18000,16500,19000,19500,20700,17500,21000,100000,22500,22000,26000,19500,22500,19700,21500,29500,23400,20500,23500,31000,25200,22000,27000,100000,NA,23500,NA
10) JNPT – BHOSARI / CHINCHWAD / PIMPRI – JNPT,14000,14400,14500,17000,17500,18900,18000,19000,19500,20700,19500,21000,100000,24300,23000,26000,19500,23400,20500,21500,21500,24300,21900,23500,24000,27000,24000,27000,100000,NA,27000,NA
11) JNPT – HINJEWADI – JNPT,15000,15300,14500,17000,18500,21600,18000,19000,20000,24300,19500,21000,100000,27000,23000,26000,21000,24300,20500,21500,21500,26100,21900,23500,24000,30600,24000,27000,100000,NA,27000,NA
12) JNPT –PIRANGUT / PUNE CITY – JNPT,15000,16200,16500,19000,18500,20700,19500,21000,20000,24300,23000,23000,100000,30600,25000,28000,21000,24300,23500,23500,44500,27000,25000,25500,47000,30600,27000,29000,100000,NA,29500,NA
13) JNPT – SHIKRAPUR / SANASWADI / KONDHAPURI – JNPT,16000,18000,16500,20000,21000,21600,19500,22000,20000,24300,23000,24000,100000,27900,25000,29000,21000,24300,23500,24500,30000,24300,25000,26500,31500,30600,27000,30000,100000,NA,29500,NA
14) JNPT – RANJANGAON / SHIRUR – JNPT,16000,18000,18000,21000,21000,21600,22000,23000,20000,24300,25000,25000,100000,27900,27500,30000,21000,24300,25000,25500,30000,24300,26500,27500,34000,30600,29000,31000,100000,NA,31000,NA
15) JNPT – SUPA  – JNPT,23000,22500,23000,22000,27000,25400,27000,25000,29000,27900,29000,28000,100000,30600,33000,32000,28000,30600,30600,29000,24000,30600,33700,33000,26000,33300,37500,35000,100000,NA,44000,NA
16) JNPT – NAGAR – JNPT,25000,56700,23000,23000,29000,63000,27000,26000,31000,72000,29000,29000,100000,80100,33000,33000,30000,NA,30600,32000,44500,90000,33700,36000,47000,99000,37500,39000,100000,NA,44000,NA
17) JNPT – BARAMATI – JNPT,25000,22500,19000,24000,29000,27900,22500,27000,31000,30600,24000,30000,100000,30600,26000,35000,30000,NA,28700,34000,44000,30600,30400,36000,46000,33300,32500,39000,100000,NA,34900,NA
18) JNPT – SATARA – JNPT,30500,21600,19000,23000,32500,26100,22500,26000,34500,32400,24000,29000,100000,35100,26000,35000,32500,33300,28700,33000,38000,36000,30400,37000,40000,40500,32500,39000,100000,NA,34900,NA
19) JNPT – PHALTAN – JNPT,18500,21600,19000,23000,24500,25200,22500,26000,26500,30600,24000,29000,100000,33300,26000,35000,28000,33300,28700,33000,44000,36000,30400,37000,46000,40500,32500,39000,100000,NA,34900,NA
20) JNPT – DHARWAD – JNPT,45000,40500,45000,48000,55000,50400,54800,52000,60000,60300,59000,61000,100000,72000,63500,65000,60000,66600,60000,58000,55000,70200,64000,62000,57000,81000,68900,68000,100000,NA,77000,NA
21) JNPT – AURANGABAD – JNPT,32000,27900,26000,28000,36500,30600,30300,30000,39500,40500,33600,37000,100000,45000,39500,41000,37000,44000,37500,41000,64000,45000,39800,43000,67000,50400,44600,45000,100000,NA,49800,NA
22) JNPT – SILVASSA / DAMAN / VAPI – JNPT,21500,18900,19000,22000,23500,23400,23900,25000,25500,25000,27000,27000,100000,306000,30500,29000,23500,27900,28500,29000,63000,27900,30500,34000,66500,30600,34900,37000,100000,36900,37500,NA
23) JNPT – CHIPLUN – JNPT,18500,27000,19500,25000,24500,30600,23000,29000,26500,NA,26500,32000,100000,NA,28000,35000,28000,NA,24500,34000,20000,NA,26000,37000,22000,NA,28500,45000,100000,NA,31000,NA
24) JNPT – ROHA – JNPT,14000,NA,13000,18000,17500,NA,16000,21000,19500,NA,18500,25000,100000,NA,20600,28000,19500,NA,18000,26000,16000,NA,19500,29000,17000,NA,23500,32000,100000,NA,26500,NA
25) JNPT – WADA – JNPT,14000,14400,13500,18000,17500,18000,17700,20000,19500,20700,19500,22000,100000,24300,21500,25000,19500,NA,19500,24000,43500,24300,21000,27000,47000,27000,23500,30000,100000,NA,27000,NA
26) JNPT – JALGAON – JNPT,37000,33300,32000,35000,39000,36900,36700,39000,42500,40500,39000,44000,100000,42300,42600,48000,43000,NA,42000,46000,49000,50400,43800,49000,53000,56700,45900,52000,100000,60300,48600,NA
27) JNPT – SAKORE (NIPHAD) / MOHADI (DINDORI) – JNPT,19000,20700,19000,25000,25000,22500,23000,28000,27000,27000,26000,32000,100000,30600,29000,35000,28500,30600,26700,35000,80000,33300,29500,37000,90000,36000,34500,39000,100000,NA,38600,NA
28) JNPT - AHMEDNAGAR - JNPT,27500,23400,23000,23000,28500,24300,27000,26000,29500,27000,29000,29000,100000,33300,33000,33000,28000,45000,30600,32000,110000,50000,33700,36000,120000,54000,37500,39000,100000,NA,44000,NA
29) JNPT - SHIRWAL/SASEWADI/KHANDALA/ KHEDSHIVAPUR - JNPT,16000,20700,18000,23000,21000,22500,22500,26000,23000,27000,26000,29000,100000,30600,28000,35000,21000,25400,24500,33000,NA,32400,26000,37000,NA,33300,28700,39000,100000,NA,31500,NA
30) JNPT - SANGLI - JNPT,37000,30600,25700,42000,39000,NA,30500,45000,42500,NA,34500,48000,NA,NA,39000,52000,43000,NA,38000,48000,63000,NA,41500,52000,66000,NA,46000,58000,100000,NA,52000,NA
31) JNPT - KOLHAPUR - JNPT,39000,30600,25700,42000,40500,30600,30500,45000,42500,36900,34500,48000,100000,40500,39000,52000,41000,NA,38000,48000,89000,45000,41500,52000,92000,45000,46000,58000,100000,NA,52000,NA
32) JNPT - WALUJ - JNPT,28000,27000,25300,28000,32000,33300,29700,30000,38000,36900,34600,37000,100000,40500,38500,41000,36000,NA,36400,41000,43000,40500,38400,43000,47000,40500,44900,45000,100000,NA,47200,NA
33) JNPT - SOLAPUR - JNPT,39000,25200,25700,42000,40500,31500,30500,45000,42500,36000,34500,48000,100000,40500,39000,52000,41000,NA,38000,48000,63000,40500,41500,52000,66000,44100,46000,58000,100000,50000,52000,NA
34) JNPT - BELGAUM - JNPT,46000,40500,37500,48000,48000,NA,44600,52000,50000,NA,47200,61000,100000,NA,53200,65000,53000,NA,48900,58000,36950,NA,52400,62000,39910,NA,62800,68000,100000,NA,72400,NA
35) JNPT - HUBLI - JNPT,56000,44100,45000,NA,57000,NA,54800,NA,60000,NA,59000,NA,100000,NA,63500,NA,63000,NA,60000,NA,17000,NA,64000,NA,18000,NA,68900,NA,100000,NA,77000,NA
36) JNPT - GOA - JNPT,55000,38700,37900,60000,56500,48600,48500,70000,59500,54000,53900,80000,100000,54900,62000,NA,62500,60300,54900,65000,NA,60300,59700,75000,NA,72000,69500,NA,100000,NA,75000,NA
37) JNPT - VASAI - JNPT,17000,15300,14500,20000,17500,20700,17600,22000,19500,24300,21500,26000,NA,NA,24500,28000,19000,NA,21000,28000,NA,25200,25800,32500,NA,25400,28600,34500,100000,NA,35600,NA
38) JNPT - PANVEL CITY/ NAVI MUMBAI - JNPT,12000,9900,9000,15000,14000,9900,12000,17000,16000,11700,14000,19000,NA,12600,15500,22000,15000,NA,13000,16000,NA,12600,14500,18000,NA,14400,16000,24000,100000,15300,18000,NA
39) JNPT - VADODARA - JNPT,37000,33300,34000,40000,39500,40500,39800,45000,43000,40500,44600,48000,NA,45000,48900,54000,41000,NA,47900,48000,NA,54000,52600,52000,NA,60300,59700,58000,100000,60300,65000,NA
40) JNPT - AHMEDABAD - JNPT,45000,40500,41000,48000,46000,45000,49500,53000,48500,50400,55900,56000,NA,50400,63500,62000,47000,NA,59800,56000,NA,56700,64200,60000,NA,63900,68500,64000,100000,66600,76500,NA
41) JNPT - PITHAMPUR - JNPT,66000,45000,44000,NA,68000,50400,57000,NA,70000,NA,63000,NA,NA,NA,68000,NA,70000,NA,62000,NA,NA,NA,65000,NA,NA,NA,68700,NA,100000,NA,75000,NA
42) JNPT - MANDIDEEP - JNPT,85000,54000,58000,NA,92000,60300,65400,NA,97000,70200,68000,NA,NA,72000,72000,NA,100000,NA,72000,NA,NA,80100,79500,NA,NA,90000,84000,NA,100000,NA,89700,NA
43) JNPT - DANNAD- JNPT,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA,NA,NA
44) JNPT - DEWAS- JNPT,55000,45000,45000,NA,58000,50400,59000,NA,60000,60300,65400,NA,NA,63900,70300,NA,60000,NA,65000,NA,NA,66600,68000,NA,NA,70200,71000,NA,100000,NA,78600,NA
45) JNPT - BHOPAL- JNPT,80000,54000,58000,NA,84000,60300,65400,NA,88000,70200,68000,NA,NA,72000,72000,NA,87000,NA,72000,NA,NA,90000,79500,NA,NA,90000,84000,NA,100000,90000,89700,NA
46) JNPT - VODODARA- JNPT,37000,33300,34000,40000,39500,40500,39800,45000,42000,40500,44600,48000,NA,45000,48900,54000,41000,NA,47900,48000,NA,54000,52600,52000,NA,60300,59700,58000,100000,60300,65000,NA
47) JNPT - PITHAMPUR- JNPT,54000,45000,44000,NA,56000,50400,57000,NA,59000,60300,63000,NA,NA,60300,68000,NA,60000,NA,62000,NA,NA,66600,65000,NA,NA,70200,68700,NA,100000,72000,75000,NA
48) JNPT - ANKLESHWAR- JNPT,30500,33300,34000,40000,31140,40500,398000,45000,35960,40500,42500,48000,NA,45000,45700,54000,35500,NA,43500,48000,NA,54000,45600,52000,NA,60300,48500,58000,100000,60300,53700,NA
49) JNPT - ANDHERI - JNPT,15000,15300,12500,NA,15500,20700,15400,NA,16500,24300,18000,NA,NA,NA,21400,NA,16000,NA,25000,NA,NA,25200,28000,NA,NA,25400,NA,NA,100000,NA,34400,NA
